country,year,estimate,hi,lo
BLR,2016,0.59,0.95,0.95
BLR,2017,0.78,0.87,0.95
BLZ,2009,NA,0.77,0.89
BLZ,2010,0.03,0.75,0.88
BLZ,2011,0.03,0.72,0.8
BLZ,2012,0.04,0.51,0.57
BLZ,2013,0.03,0.55,0.62
BLZ,2014,0.03,0.5,0.57
BLZ,2015,0.03,0.62,0.7
BLZ,2016,0.03,0.37,0.42
BLZ,2017,0.02,0.36,0.4
BOL,2009,NA,0.07,0.1
BOL,2010,0.05,0.46,0.67
BOL,2011,0.34,0.46,0.68
BOL,2012,0.34,0.46,0.71
BOL,2013,0.34,0.46,0.67
BOL,2014,0.33,0.44,0.65
BOL,2015,0.32,0.43,0.66
BOL,2016,0.32,0.42,0.61
BOL,2017,0.3,0.4,0.57
BRA,2009,NA,0.25,0.35
BRA,2010,0.19,0.25,0.35
BRA,2011,0.19,0.46,0.63
BRA,2012,0.35,0.25,0.35
BRA,2013,0.19,0.45,0.63
BRA,2014,0.35,0.45,0.62
BRA,2015,0.34,0.46,0.65
BRA,2016,0.35,0.46,0.63
BRA,2017,0.35,0.45,0.63
BRB,2009,NA,NA,NA
BRB,2010,NA,NA,NA
BRB,2011,NA,NA,NA
BRB,2012,NA,NA,NA
BRB,2013,NA,NA,NA
BRB,2014,NA,NA,NA
BRB,2015,NA,NA,NA
BRB,2016,NA,NA,NA
BRB,2017,NA,NA,NA
BRN,2009,NA,NA,NA
BRN,2010,NA,NA,NA
BRN,2011,NA,NA,NA
BRN,2012,NA,NA,NA
BRN,2013,NA,NA,NA
BRN,2014,NA,NA,NA
BRN,2015,NA,NA,NA
BRN,2016,NA,NA,NA
BRN,2017,NA,NA,NA
BTN,2009,NA,NA,NA
BTN,2010,NA,NA,NA
BTN,2011,NA,NA,NA
BTN,2012,NA,NA,NA
BTN,2013,NA,NA,NA
BTN,2014,NA,NA,NA
BTN,2015,NA,NA,NA
BTN,2016,NA,NA,NA
BTN,2017,NA,NA,NA
BWA,2009,NA,NA,NA
BWA,2010,NA,0.53,0.62
BWA,2011,0.47,0.35,0.41
BWA,2012,0.32,0.36,0.41
BWA,2013,0.33,0.48,0.55
BWA,2014,0.43,0.41,0.48
BWA,2015,0.38,0.45,0.53
BWA,2016,0.41,0.47,0.54
BWA,2017,0.42,0.5,0.57
CAF,2009,NA,0.01,0.01
CAF,2010,0.01,0.01,0.01
CAF,2011,0.01,0.07,0.1
